epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.688,1.30374,3.31586,1.21382,0.00344,0.9463,0.09571,0.05259,1.04671,4.17995,1.04628,0.000545744,0.000545744,0.000545744
2,531.211,1.22174,2.35945,1.15485,0.42286,0.61291,0.42634,0.28297,1.15233,2.90127,1.14242,0.00104689,0.00104689,0.00104689
3,771.362,1.21563,2.08738,1.16013,0.4525,0.70953,0.46017,0.32242,1.15051,2.35933,1.1275,0.00149303,0.00149303,0.00149303
4,1007.09,1.18867,1.8545,1.14015,0.45691,0.72351,0.45012,0.30702,1.1311,2.13123,1.09615,0.00141945,0.00141945,0.00141945
5,1254.49,1.16544,1.64002,1.1295,0.46718,0.82315,0.50661,0.34981,1.11338,1.68385,1.08614,0.00133693,0.00133693,0.00133693
6,1521.31,1.18621,1.54444,1.12184,0.43812,0.79866,0.4571,0.29625,1.1605,1.64486,1.11651,0.00125442,0.00125442,0.00125442
7,1781.12,1.08842,1.42464,1.08258,0.44515,0.73521,0.46206,0.3153,1.09464,1.5245,1.07472,0.0011719,0.0011719,0.0011719
8,2014.02,1.09413,1.38012,1.08038,0.46052,0.79401,0.4756,0.33461,1.05001,1.52412,1.04727,0.00108938,0.00108938,0.00108938
9,2246.4,1.07678,1.35378,1.07206,0.45011,0.84289,0.46777,0.31983,1.08939,1.46911,1.06779,0.00100687,0.00100687,0.00100687
10,2564.82,1.08968,1.31077,1.07133,0.45194,0.77668,0.46191,0.32382,1.08293,1.4147,1.05776,0.000924352,0.000924352,0.000924352
11,2836.86,1.01278,1.26806,1.07377,0.45274,0.79034,0.47297,0.34003,1.00591,1.42388,1.03247,0.000841835,0.000841835,0.000841835
12,3161.11,0.97938,1.21109,1.05479,0.45098,0.85384,0.47716,0.34442,1.00368,1.30811,1.05955,0.000759318,0.000759318,0.000759318
13,3479.52,0.93412,1.18443,1.03489,0.44681,0.8034,0.45394,0.32681,0.97537,1.2858,1.02671,0.000676802,0.000676802,0.000676802
14,3813.55,0.94198,1.16508,1.04348,0.44233,0.87124,0.47737,0.35355,0.93663,1.28649,1.00554,0.000594286,0.000594286,0.000594286
15,4124.11,0.92689,1.1146,1.01903,0.43291,0.87834,0.45501,0.33384,0.93811,1.38475,1.01895,0.000511769,0.000511769,0.000511769
16,4433.49,0.89465,1.07691,0.98904,0.46437,0.85195,0.4908,0.36015,0.9319,1.19638,0.99471,0.000429253,0.000429253,0.000429253
17,4743.38,0.88425,1.0182,0.98833,0.45985,0.83613,0.46575,0.33855,0.93939,1.2846,1.01475,0.000346736,0.000346736,0.000346736
18,5036.16,0.85747,0.99667,0.98939,0.42128,0.86078,0.43731,0.32035,0.94146,1.36219,1.00984,0.00026422,0.00026422,0.00026422
19,5395.82,0.85568,0.98437,0.98293,0.40128,0.87386,0.44972,0.33015,0.93909,1.47316,1.02379,0.000181703,0.000181703,0.000181703
20,5701.42,0.82612,0.94995,0.98018,0.41963,0.85513,0.45646,0.33622,0.90683,1.36714,1.00095,9.91865e-05,9.91865e-05,9.91865e-05
