epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,667.245,1.25991,1.7248,1.20476,0.39753,0.76705,0.43901,0.30588,1.1326,1.51283,1.10721,0.000331845,0.000331845,0.0671473
2,1447.38,1.18584,1.38458,1.14219,0.34276,0.58132,0.32185,0.19767,1.29969,1.69867,1.18656,0.000664727,0.000664727,0.0341469
3,2189.61,1.14353,1.29477,1.13222,0.43624,0.71447,0.47173,0.3151,1.15961,1.36417,1.1038,0.000995804,0.000995804,0.00114461
4,2927.47,1.13194,1.25568,1.12222,0.48937,0.7669,0.49896,0.34325,1.09998,1.26455,1.06871,0.000993906,0.000993906,0.000993906
5,3604.6,1.1038,1.25139,1.11197,0.42468,0.83505,0.46877,0.33277,1.03488,1.29962,1.02729,0.000989183,0.000989183,0.000989183
6,4190.69,1.07145,1.20753,1.08678,0.43421,0.8224,0.48263,0.32589,1.14232,1.27171,1.07177,0.000983133,0.000983133,0.000983133
7,4773.72,1.06333,1.22291,1.08281,0.44927,0.82704,0.48899,0.33682,1.13057,1.30722,1.06743,0.000975773,0.000975773,0.000975773
8,5356.7,1.05694,1.16426,1.07304,0.4344,0.78057,0.49584,0.33445,1.16638,1.25569,1.09296,0.000967122,0.000967122,0.000967122
9,5935.33,1.05892,1.16962,1.08105,0.44349,0.8528,0.4865,0.33736,1.11268,1.17921,1.06935,0.000957205,0.000957205,0.000957205
10,6515.14,1.00249,1.13907,1.05921,0.44533,0.83201,0.49734,0.34289,1.08921,1.21083,1.04366,0.000946048,0.000946048,0.000946048
11,7090.94,1.00759,1.10388,1.04372,0.47725,0.77493,0.53625,0.36972,1.13954,1.23502,1.08103,0.000933683,0.000933683,0.000933683
12,7670.74,1.02927,1.10151,1.05571,0.4565,0.84811,0.49886,0.34024,1.08882,1.18148,1.0497,0.000920142,0.000920142,0.000920142
13,8246.85,0.97249,1.07912,1.02182,0.44377,0.8224,0.50933,0.34905,1.03657,1.2339,1.03952,0.000905463,0.000905463,0.000905463
14,8828.03,0.96961,1.07613,1.02897,0.4536,0.86237,0.50753,0.34358,1.08331,1.26695,1.07009,0.000889687,0.000889687,0.000889687
15,9403.35,0.96527,1.05581,1.02578,0.47411,0.82416,0.51832,0.36865,1.05398,1.19885,1.04074,0.000872857,0.000872857,0.000872857
16,9978.69,0.92717,1.03545,1.0106,0.4328,0.8249,0.48951,0.34041,1.08083,1.28245,1.08498,0.000855018,0.000855018,0.000855018
17,10561.4,0.92456,1.05801,1.00245,0.42466,0.81766,0.49124,0.33469,1.10492,1.3079,1.06425,0.00083622,0.00083622,0.00083622
18,11142.4,0.92522,1.04078,1.01276,0.45155,0.84042,0.47307,0.31957,1.09796,1.22079,1.08143,0.000816514,0.000816514,0.000816514
19,11724,0.91484,1.01356,0.99987,0.44699,0.85136,0.46286,0.31495,1.13476,1.20503,1.07682,0.000795954,0.000795954,0.000795954
20,12305.4,0.92317,1.02751,1.01264,0.46763,0.83188,0.49848,0.34594,0.98776,1.16845,1.02193,0.000774596,0.000774596,0.000774596
21,12879.9,0.93526,0.98179,1.01678,0.43717,0.83964,0.47016,0.32158,1.07693,1.32539,1.05211,0.0007525,0.0007525,0.0007525
22,13457,0.88621,0.94345,0.992,0.43051,0.85087,0.46438,0.32473,1.11432,1.48775,1.08245,0.000729725,0.000729725,0.000729725
23,14052,0.86811,0.95283,0.97986,0.45462,0.86858,0.47512,0.32633,1.01313,1.20919,1.04136,0.000706335,0.000706335,0.000706335
24,14640.9,0.86029,0.92469,0.97492,0.44851,0.84289,0.48223,0.32035,1.10807,1.36092,1.06102,0.000682392,0.000682392,0.000682392
25,15223.6,0.87386,0.89787,0.97717,0.4246,0.87013,0.46774,0.32065,1.03674,1.28118,1.06497,0.000657963,0.000657963,0.000657963
26,15902,0.85536,0.88332,0.97298,0.39852,0.85536,0.44047,0.29838,1.07811,1.57375,1.0795,0.000633115,0.000633115,0.000633115
